hotel_ID,property_feature
City Park Hotel Manila,Car park [on-site]
City Park Hotel Manila,Air conditioning
City Park Hotel Manila,Free bottled water
City Park Hotel Manila,In-room safe box
City Park Hotel Manila,Non-smoking
City Park Hotel Manila,Refrigerator
City Park Hotel Manila,Shower
City Park Hotel Manila,TV [flat screen]
MySpace Hotel @BGC,Wheelchair accessible
MySpace Hotel @BGC,Free Wi-Fi in all rooms!
MySpace Hotel @BGC,Internet
MySpace Hotel @BGC,Internet services
MySpace Hotel @BGC,Wi-Fi in public areas
MySpace Hotel @BGC,Anti-viral cleaning products
MySpace Hotel @BGC,Body thermometer
MySpace Hotel @BGC,Breakfast takeaway service
MySpace Hotel @BGC,Cashless payment service
MySpace Hotel @BGC,Daily disinfection in all rooms
MySpace Hotel @BGC,Daily disinfection in common areas
MySpace Hotel @BGC,Doctor/nurse on call
MySpace Hotel @BGC,Face coverings on staff
MySpace Hotel @BGC,First aid kit
MySpace Hotel @BGC,Free face masks
MySpace Hotel @BGC,Guest rooms seal after sanitization
MySpace Hotel @BGC,Hand sanitizer
MySpace Hotel @BGC,Hot water linen and laundry washing
MySpace Hotel @BGC,Hygiene certification
MySpace Hotel @BGC,Individually-wrapped food options
MySpace Hotel @BGC,Physical distancing of at least 1 meter
MySpace Hotel @BGC,Professional-grade sanitizing services
MySpace Hotel @BGC,Protective screens in common areas
MySpace Hotel @BGC,Room sanitization opt-out available
MySpace Hotel @BGC,Rooms sanitized between stays
MySpace Hotel @BGC,Safe dining setup
MySpace Hotel @BGC,Sanitized kitchen and tableware items
MySpace Hotel @BGC,Shared stationery removed
MySpace Hotel @BGC,Staff trained in safety protocol
MySpace Hotel @BGC,Temperature check for guests and staff
MySpace Hotel @BGC,Coffee shop
MySpace Hotel @BGC,Kitchen
MySpace Hotel @BGC,Restaurants
MySpace Hotel @BGC,Air conditioning in public area
MySpace Hotel @BGC,Concierge
MySpace Hotel @BGC,Contactless check-in/out
MySpace Hotel @BGC,Convenience store
MySpace Hotel @BGC,Daily housekeeping
MySpace Hotel @BGC,Dry cleaning
MySpace Hotel @BGC,Elevator
MySpace Hotel @BGC,Facilities for disabled guests
MySpace Hotel @BGC,Food delivery
MySpace Hotel @BGC,Grooming service
MySpace Hotel @BGC,Ironing service
MySpace Hotel @BGC,Luggage storage
MySpace Hotel @BGC,Safety deposit boxes
MySpace Hotel @BGC,Smoke-free property
MySpace Hotel @BGC,Smoking area
MySpace Hotel @BGC,Terrace
MySpace Hotel @BGC,Xerox/fax in business center
MySpace Hotel @BGC,Family room
MySpace Hotel @BGC,CCTV in common areas
MySpace Hotel @BGC,CCTV outside property
MySpace Hotel @BGC,Fire extinguisher
MySpace Hotel @BGC,Front desk [24-hour]
MySpace Hotel @BGC,Non-smoking rooms
MySpace Hotel @BGC,Pets allowed
MySpace Hotel @BGC,Safety/security feature
MySpace Hotel @BGC,Security [24-hour]
MySpace Hotel @BGC,Smoke alarms
MySpace Hotel @BGC,Airport transfer
MySpace Hotel @BGC,Car park [charges apply]
MySpace Hotel @BGC,Car park [nearby]
MySpace Hotel @BGC,Car park [on-site]
MySpace Hotel @BGC,Accessible by elevator
MySpace Hotel @BGC,Air conditioning
MySpace Hotel @BGC,Clothes rack
MySpace Hotel @BGC,Daily housekeeping
MySpace Hotel @BGC,Desk
MySpace Hotel @BGC,Electric kettle
MySpace Hotel @BGC,Extra long bed
MySpace Hotel @BGC,Free bottled water
MySpace Hotel @BGC,Hair dryer
MySpace Hotel @BGC,Hand sanitizer
MySpace Hotel @BGC,Heating
MySpace Hotel @BGC,Individual air conditioning
MySpace Hotel @BGC,In-room safe box
MySpace Hotel @BGC,Linens
MySpace Hotel @BGC,Non-smoking
MySpace Hotel @BGC,Private bathroom
MySpace Hotel @BGC,Safety/security feature
MySpace Hotel @BGC,Satellite/cable channels
MySpace Hotel @BGC,Shower
MySpace Hotel @BGC,Sleep comfort items
MySpace Hotel @BGC,Smoke detector
MySpace Hotel @BGC,Socket near the bed
MySpace Hotel @BGC,Telephone
MySpace Hotel @BGC,Toiletries
MySpace Hotel @BGC,Towels
MySpace Hotel @BGC,Trash cans
MySpace Hotel @BGC,Wake-up service
MySpace Hotel @BGC,Wi-Fi [free]
MySpace Hotel @BGC,Window
MySpace Hotel @BGC,Wooden/parqueted flooring
airobedz - near BGC,Free Wi-Fi in all rooms!
airobedz - near BGC,Internet
airobedz - near BGC,Internet services
airobedz - near BGC,Wi-Fi in public areas
airobedz - near BGC,Bottle of water
airobedz - near BGC,Anti-viral cleaning products
airobedz - near BGC,Body thermometer
airobedz - near BGC,Daily disinfection in all rooms
airobedz - near BGC,Daily disinfection in common areas
airobedz - near BGC,Doctor/nurse on call
airobedz - near BGC,First aid kit
airobedz - near BGC,Free face masks
airobedz - near BGC,Guest rooms seal after sanitization
airobedz - near BGC,Hand sanitizer
airobedz - near BGC,Hot water linen and laundry washing
airobedz - near BGC,Physical distancing of at least 1 meter
airobedz - near BGC,Professional-grade sanitizing services
airobedz - near BGC,Protective screens in common areas
airobedz - near BGC,Room sanitization opt-out available
airobedz - near BGC,Rooms sanitized between stays
airobedz - near BGC,Shared stationery removed
airobedz - near BGC,Staff trained in safety protocol
airobedz - near BGC,Temperature check for guests and staff
airobedz - near BGC,Air conditioning in public area
airobedz - near BGC,Contactless check-in/out
airobedz - near BGC,Elevator
airobedz - near BGC,Smoke-free property
airobedz - near BGC,Smoking area
airobedz - near BGC,Xerox/fax in business center
airobedz - near BGC,CCTV in common areas
airobedz - near BGC,CCTV outside property
airobedz - near BGC,Fire extinguisher
airobedz - near BGC,Front desk [24-hour]
airobedz - near BGC,Non-smoking rooms
airobedz - near BGC,Pets allowed
airobedz - near BGC,Smoke alarms
airobedz - near BGC,Car park [charges apply]
airobedz - near BGC,Air conditioning
airobedz - near BGC,Electric kettle
airobedz - near BGC,Free bottled water
airobedz - near BGC,Non-smoking
airobedz - near BGC,Shower
airobedz - near BGC,Toiletries
airobedz - near BGC,TV [flat screen]
Brittany Hotel BGC,Wheelchair accessible
Brittany Hotel BGC,Free Wi-Fi in all rooms!
Brittany Hotel BGC,Internet
Brittany Hotel BGC,Internet services
Brittany Hotel BGC,Wi-Fi in public areas
Brittany Hotel BGC,Fitness center
Brittany Hotel BGC,Golf course [on-site]
Brittany Hotel BGC,Spa
Brittany Hotel BGC,Swimming pool [indoor]
Brittany Hotel BGC,Swimming pool [outdoor]
Brittany Hotel BGC,Breakfast in room
Brittany Hotel BGC,Daily disinfection in all rooms
Brittany Hotel BGC,Daily disinfection in common areas
Brittany Hotel BGC,First aid kit
Brittany Hotel BGC,Hand sanitizer
Brittany Hotel BGC,Hot water linen and laundry washing
Brittany Hotel BGC,Sanitized kitchen and tableware items
Brittany Hotel BGC,Alternative meal arrangement
Brittany Hotel BGC,Bar
Brittany Hotel BGC,Breakfast service
Brittany Hotel BGC,Coffee shop
Brittany Hotel BGC,Restaurants
Brittany Hotel BGC,Room service
Brittany Hotel BGC,Snack bar
Brittany Hotel BGC,Air conditioning in public area
Brittany Hotel BGC,Concierge
Brittany Hotel BGC,Convenience store
Brittany Hotel BGC,Currency exchange
Brittany Hotel BGC,Daily housekeeping
Brittany Hotel BGC,Doorman
Brittany Hotel BGC,Dry cleaning
Brittany Hotel BGC,Elevator
Brittany Hotel BGC,Facilities for disabled guests
Brittany Hotel BGC,Grooming service
Brittany Hotel BGC,Heating in public area
Brittany Hotel BGC,Ironing service
Brittany Hotel BGC,Laundry service
Brittany Hotel BGC,Library
Brittany Hotel BGC,Luggage storage
Brittany Hotel BGC,Meeting/banquet facilities
Brittany Hotel BGC,Safety deposit boxes
Brittany Hotel BGC,Salon
Brittany Hotel BGC,Smoke-free property
Brittany Hotel BGC,Smoking area
Brittany Hotel BGC,Xerox/fax in business center
Brittany Hotel BGC,CCTV in common areas
Brittany Hotel BGC,CCTV outside property
Brittany Hotel BGC,Check-in/out [private]
Brittany Hotel BGC,Check-in [24-hour]
Brittany Hotel BGC,Dog-friendly
Brittany Hotel BGC,Fire extinguisher
Brittany Hotel BGC,Front desk [24-hour]
Brittany Hotel BGC,Non-smoking rooms
Brittany Hotel BGC,Pets allowed
Brittany Hotel BGC,Pets allowed for free
Brittany Hotel BGC,Safety/security feature
Brittany Hotel BGC,Security [24-hour]
Brittany Hotel BGC,Smoke alarms
Brittany Hotel BGC,Airport transfer
Brittany Hotel BGC,Car park [on-site]
Brittany Hotel BGC,Taxi service
Brittany Hotel BGC,Accessible by elevator
Brittany Hotel BGC,Air conditioning
Brittany Hotel BGC,Bathrobes
Brittany Hotel BGC,Carpeting
Brittany Hotel BGC,Closet
Brittany Hotel BGC,Clothes rack
Brittany Hotel BGC,Coffee/tea maker
Brittany Hotel BGC,Desk
Brittany Hotel BGC,Electric kettle
Brittany Hotel BGC,Fire extinguisher
Brittany Hotel BGC,Free bottled water
Brittany Hotel BGC,Hair dryer
Brittany Hotel BGC,In-room safe box
Brittany Hotel BGC,Interconnecting room(s) available
Brittany Hotel BGC,Linens
Brittany Hotel BGC,Mini bar
Brittany Hotel BGC,Mirror
Brittany Hotel BGC,Non-smoking
Brittany Hotel BGC,Private bathroom
Brittany Hotel BGC,Refrigerator
Brittany Hotel BGC,Safety/security feature
Brittany Hotel BGC,Satellite/cable channels
Brittany Hotel BGC,Seating area
Brittany Hotel BGC,Shower
Brittany Hotel BGC,Slippers
Brittany Hotel BGC,Smoke detector
Brittany Hotel BGC,Sofa
Brittany Hotel BGC,Swimming pool [direct access]
Brittany Hotel BGC,Telephone
Brittany Hotel BGC,Toiletries
Brittany Hotel BGC,Towels
Brittany Hotel BGC,Trash cans
Brittany Hotel BGC,Wake-up service
Brittany Hotel BGC,Wi-Fi [free]
Brittany Hotel BGC,Window
"Shangri-La The Fort, Manila",Wheelchair accessible
"Shangri-La The Fort, Manila",Free Wi-Fi in all rooms!
"Shangri-La The Fort, Manila",Internet services
"Shangri-La The Fort, Manila",Wi-Fi in public areas
"Shangri-La The Fort, Manila",Fitness center
"Shangri-La The Fort, Manila",Game room
"Shangri-La The Fort, Manila",Garden
"Shangri-La The Fort, Manila",Massage
"Shangri-La The Fort, Manila",Nightclub
"Shangri-La The Fort, Manila",On-site entertainment
"Shangri-La The Fort, Manila",Pool with view
"Shangri-La The Fort, Manila",Sauna
"Shangri-La The Fort, Manila",Spa
"Shangri-La The Fort, Manila",Squash court
"Shangri-La The Fort, Manila",Steamroom
"Shangri-La The Fort, Manila",Swimming pool [outdoor]
"Shangri-La The Fort, Manila",Tennis court
"Shangri-La The Fort, Manila",Tours
"Shangri-La The Fort, Manila",Yoga room
"Shangri-La The Fort, Manila",Anti-viral cleaning products
"Shangri-La The Fort, Manila",Body thermometer
"Shangri-La The Fort, Manila",Breakfast in room
"Shangri-La The Fort, Manila",Breakfast takeaway service
"Shangri-La The Fort, Manila",Cashless payment service
"Shangri-La The Fort, Manila",Doctor/nurse on call
"Shangri-La The Fort, Manila",First aid kit
"Shangri-La The Fort, Manila",Free face masks
"Shangri-La The Fort, Manila",Guest rooms seal after sanitization
"Shangri-La The Fort, Manila",Hand sanitizer
"Shangri-La The Fort, Manila",Hotel room service app
"Shangri-La The Fort, Manila",Hot water linen and laundry washing
"Shangri-La The Fort, Manila",Individually-wrapped food options
"Shangri-La The Fort, Manila",Physical distancing of at least 1 meter
"Shangri-La The Fort, Manila",Professional-grade sanitizing services
"Shangri-La The Fort, Manila",Protective screens in common areas
"Shangri-La The Fort, Manila",Room sanitization opt-out available
"Shangri-La The Fort, Manila",Rooms sanitized between stays
"Shangri-La The Fort, Manila",Safe dining setup
"Shangri-La The Fort, Manila",Sanitized kitchen and tableware items
"Shangri-La The Fort, Manila",Shared stationery removed
"Shangri-La The Fort, Manila",Staff trained in safety protocol
"Shangri-La The Fort, Manila",Temperature check for guests and staff
"Shangri-La The Fort, Manila",Alternative meal arrangement
"Shangri-La The Fort, Manila",Bar
"Shangri-La The Fort, Manila",BBQ facilities
"Shangri-La The Fort, Manila",Coffee shop
"Shangri-La The Fort, Manila",Grocery delivery
"Shangri-La The Fort, Manila",Happy hour
"Shangri-La The Fort, Manila",Poolside bar
"Shangri-La The Fort, Manila",Restaurants
"Shangri-La The Fort, Manila",Room service
"Shangri-La The Fort, Manila",Snack bar
"Shangri-La The Fort, Manila",Air conditioning in public area
"Shangri-La The Fort, Manila",Cash withdrawal
"Shangri-La The Fort, Manila",Concierge
"Shangri-La The Fort, Manila",Contactless check-in/out
"Shangri-La The Fort, Manila",Currency exchange
"Shangri-La The Fort, Manila",Daily housekeeping
"Shangri-La The Fort, Manila",Dry cleaning
"Shangri-La The Fort, Manila",Elevator
"Shangri-La The Fort, Manila",Facilities for disabled guests
"Shangri-La The Fort, Manila",Food delivery
"Shangri-La The Fort, Manila",Grooming service
"Shangri-La The Fort, Manila",Ironing service
