userID,Rating,hotel_ID
Evangeline,10.0,Avant Serviced Suites - Personal Concierge
Gaylyn,10.0,Avant Serviced Suites - Personal Concierge
Carmela,10.0,Avant Serviced Suites - Personal Concierge
Gia,9.6,Avant Serviced Suites - Personal Concierge
Joseph,9.6,Avant Serviced Suites - Personal Concierge
Harry,10.0,Avant Serviced Suites - Personal Concierge
Jeremiah,10.0,MySpace Hotel @BGC
Karmela,10.0,MySpace Hotel @BGC
Jeffrey,10.0,MySpace Hotel @BGC
Laarni,10.0,MySpace Hotel @BGC
Charlene,10.0,MySpace Hotel @BGC
Julie,10.0,MySpace Hotel @BGC
Dulce,10.0,MySpace Hotel @BGC
Juvylyn,10.0,MySpace Hotel @BGC
Paolo,10.0,MySpace Hotel @BGC
Rica,9.6,MySpace Hotel @BGC
Emman,10.0,MySpace Hotel @BGC
ELIZA,9.6,MySpace Hotel @BGC
Horace,10.0,MySpace Hotel @BGC
DAPHNE,9.6,MySpace Hotel @BGC
anni,9.6,MySpace Hotel @BGC
Jolina,9.2,MySpace Hotel @BGC
Adam,10.0,MySpace Hotel @BGC
Janel,10.0,MySpace Hotel @BGC
Daniel,10.0,MySpace Hotel @BGC
Siquijorian,10.0,MySpace Hotel @BGC
Jorge,10.0,RedDoorz near Mercado del Lago
kymille,10.0,RedDoorz near Mercado del Lago
Darren,6.4,RedDoorz near Mercado del Lago
Darren,5.6,RedDoorz near Mercado del Lago
Darren,5.2,RedDoorz near Mercado del Lago
Darren,4.8,RedDoorz near Mercado del Lago
Darren,5.6,RedDoorz near Mercado del Lago
Darren,5.6,RedDoorz near Mercado del Lago
Wolfgang,4.8,RedDoorz near Mercado del Lago
Darren,5.2,RedDoorz near Mercado del Lago
Mae,4.8,RedDoorz near Mercado del Lago
Aldrin,3.6,RedDoorz near Mercado del Lago
Claudine,8.4,RedDoorz near Mercado del Lago
Aiza,7.2,RedDoorz near Mercado del Lago
Patricia,2.0,RedDoorz near Mercado del Lago
Carla,8.4,RedDoorz near Mercado del Lago
Ann,4.8,RedDoorz near Mercado del Lago
Josie,7.2,RedDoorz near Mercado del Lago
nefele,10.0,RedDoorz near Mercado del Lago
Darren,6.4,RedDoorz near Mercado del Lago
Alex,10.0,Patricios Apartelle Taguig
Elaine,8.0,Patricios Apartelle Taguig
Rhia,7.0,Patricios Apartelle Taguig
Malaza,10.0,Patricios Apartelle Taguig
Alshane,6.0,Patricios Apartelle Taguig
Marites,8.0,Patricios Apartelle Taguig
Lakeachara,8.0,Patricios Apartelle Taguig
Ulrich,6.0,Patricios Apartelle Taguig
John,10.0,Avant Apartments At The Fort By Jazz
Hezedy,10.0,Avant Apartments At The Fort By Jazz
paula,9.6,Avant Apartments At The Fort By Jazz
Caroline,10.0,Avant Apartments At The Fort By Jazz
lorinda,10.0,Avant Apartments At The Fort By Jazz
Mark,10.0,Avant Apartments At The Fort By Jazz
Erlinda,9.6,Avant Apartments At The Fort By Jazz
John,10.0,Avant Apartments At The Fort By Jazz
Christine,10.0,Avant Apartments At The Fort By Jazz
